
Ó³ÏñÃû³Æ                       PID »á»°Ãû              »á»°#       ÄÚ´æÊ¹ÓÃ 
svchost.exe                   7512 Services                   0      4,812 K
svchost.exe                   9760 Services                   0      2,368 K
svchost.exe                   9828 Console                    1      1,572 K
ShellExperienceHost.exe      12180 Console                    1     32,072 K
RuntimeBroker.exe            10912 Console                    1     13,960 K
svchost.exe                   4584 Services                   0      1,572 K
svchost.exe                   7820 Services                   0      9,068 K
svchost.exe                   3324 Services                   0      1,944 K
WeChat.exe                    8084 Console                    1     48,276 K
WechatBrowser.exe             3720 Console                    1     25,996 K
WeChatPlayer.exe              8548 Console                    1      4,724 K
WechatBrowser.exe             2672 Console                    1      2,240 K
WechatBrowser.exe             5088 Console                    1     19,524 K
WechatBrowser.exe            13268 Console                    1     11,060 K
WechatBrowser.exe            11760 Console                    1      4,960 K
explorer.exe                  6872 Console                    1     69,828 K
conhost.exe                  12384 Console                    1      1,300 K
Code.exe                      4664 Console                    1     66,164 K
Code.exe                      8672 Console                    1      1,972 K
Code.exe                      7620 Console                    1    138,172 K
Code.exe                      6488 Console                    1     11,708 K
Code.exe                      1836 Console                    1    158,752 K
Code.exe                      9976 Console                    1     77,324 K
Code.exe                      4848 Console                    1     38,416 K
CodeHelper.exe               10820 Console                    1      3,912 K
conhost.exe                   6632 Console                    1        168 K
Code.exe                      8552 Console                    1      7,672 K
powershell.exe                8144 Console                    1        144 K
conhost.exe                   8132 Console                    1         12 K
Code.exe                      4544 Console                    1      1,236 K
Code.exe                     10548 Console                    1      9,832 K
chrome.exe                   12168 Console                    1    207,592 K
chrome.exe                    3284 Console                    1      2,072 K
SogouCloud.exe                6956 Console                    1      5,312 K
chrome.exe                    7964 Console                    1    116,420 K
chrome.exe                    8116 Console                    1     30,688 K
chrome.exe                    8684 Console                    1      6,452 K
chrome.exe                    9460 Console                    1     17,352 K
chrome.exe                    8400 Console                    1     15,208 K
chrome.exe                   10228 Console                    1     30,788 K
chrome.exe                    5056 Console                    1     14,432 K
chrome.exe                   11300 Console                    1     48,812 K
chrome.exe                    1616 Console                    1     17,448 K
chrome.exe                   12872 Console                    1     19,628 K
chrome.exe                    5880 Console                    1     14,832 K
Code.exe                     13808 Console                    1      1,536 K
WeChatApp.exe                14056 Console                    1     15,388 K
chrome.exe                   14528 Console                    1     51,124 K
CocosDashboard.exe           14376 Console                    1     41,692 K
CocosDashboard.exe           12648 Console                    1     10,732 K
CocosDashboard.exe            8296 Console                    1     55,060 K
chrome.exe                    2320 Console                    1     33,292 K
chrome.exe                   15648 Console                    1      8,048 K
Code.exe                     12164 Console                    1        224 K
Code.exe                     10952 Console                    1      5,780 K
Code.exe                     11516 Console                    1      2,540 K
chrome.exe                   16548 Console                    1     11,184 K
git.exe                      20424 Console                    1         ÔÝÈ±
conhost.exe                  18592 Console                    1      1,292 K
git.exe                      19760 Console                    1         ÔÝÈ±
ConEmu64.exe                 20108 Console                    1      3,976 K
ConEmuC64.exe                20076 Console                    1        740 K
conhost.exe                  16484 Console                    1      2,404 K
cmd.exe                       6456 Console                    1      1,404 K
chrome.exe                   27620 Console                    1     19,388 K
ConEmu64.exe                 22644 Console                    1      2,964 K
ConEmuC64.exe                 7520 Console                    1        752 K
conhost.exe                  28528 Console                    1      1,776 K
cmd.exe                      27548 Console                    1        320 K
node.exe                     28396 Console                    1      2,996 K
cmd.exe                      30376 Console                    1         12 K
node.exe                     14428 Console                    1         ÔÝÈ±
node.exe                     26456 Console                    1      1,752 K
CocosCreator.exe             35732 Console                    1     55,956 K
CocosCreator.exe             12296 Console                    1     50,584 K
CocosCreator.exe             14740 Console                    1      5,404 K
CocosCreator.exe             16276 Console                    1     56,772 K
CocosCreator.exe             16836 Console                    1    138,256 K
CocosCreator.exe              4188 Console                    1     16,652 K
CocosCreator.exe             25708 Console                    1    103,192 K
CocosCreator.exe             33460 Console                    1     14,576 K
CocosCreator.exe             32280 Console                    1      5,468 K
CocosCreator.exe             34756 Console                    1     40,108 K
CocosCreator.exe             19648 Console                    1     48,488 K
CocosCreator.exe             37020 Console                    1      7,532 K
CocosCreator.exe             21424 Console                    1      6,076 K
CocosCreator.exe             18028 Console                    1     39,468 K
CocosCreator.exe             30424 Console                    1      9,996 K
CocosCreator.exe             24036 Console                    1    103,528 K
CocosCreator.exe             32212 Console                    1      2,632 K
CocosCreator.exe             37060 Console                    1      5,456 K
dllhost.exe                  37508 Console                    1     13,796 K
ApplicationFrameHost.exe     38012 Console                    1     17,472 K
svchost.exe                  39368 Services                   0      2,700 K
ConEmu64.exe                 29576 Console                    1      2,976 K
ConEmuC64.exe                39484 Console                    1        732 K
conhost.exe                  16544 Console                    1      1,728 K
cmd.exe                      38408 Console                    1        352 K
Code.exe                     15520 Console                    1    138,560 K
CodeHelper.exe               39020 Console                    1        904 K
Code.exe                      2096 Console                    1     33,592 K
conhost.exe                  19720 Console                    1         60 K
Code.exe                     38088 Console                    1      4,628 K
powershell.exe               40280 Console                    1      1,268 K
conhost.exe                  40340 Console                    1        180 K
Code.exe                     40080 Console                    1      5,424 K
Code.exe                     40868 Console                    1      2,272 K
Code.exe                     40772 Console                    1     10,984 K
Code.exe                     39300 Console                    1        224 K
chrome.exe                   40348 Console                    1     22,636 K
ConEmu64.exe                 11592 Console                    1      3,564 K
ConEmuC64.exe                40352 Console                    1        740 K
conhost.exe                  40380 Console                    1      2,048 K
cmd.exe                      39876 Console                    1      1,224 K
chrome.exe                   40076 Console                    1     18,844 K
chrome.exe                   42348 Console                    1      8,900 K
chrome.exe                   42396 Console                    1     16,728 K
chrome.exe                   32968 Console                    1     12,296 K
Code.exe                     42128 Console                    1      4,604 K
Code.exe                     40912 Console                    1      4,536 K
node.exe                     40712 Console                    1      2,808 K
cmd.exe                      39616 Console                    1      2,624 K
node.exe                     43072 Console                    1     11,560 K
WechatBrowser.exe            42420 Console                    1      4,344 K
dllhost.exe                  45956 Console                    1      9,020 K
Photoshop.exe                 9668 Console                    1    116,468 K
Adobe Spaces Helper.exe      46596 Console                    1      4,072 K
Adobe Spaces Helper.exe      46752 Console                    1      1,800 K
Adobe Spaces Helper.exe      46968 Console                    1      5,560 K
node.exe                     47020 Console                    1      2,600 K
conhost.exe                  47040 Console                    1      5,232 K
CEPHtmlEngine.exe            46352 Console                    1     10,496 K
CEPHtmlEngine.exe            46480 Console                    1      4,472 K
CEPHtmlEngine.exe            46740 Console                    1      2,588 K
chrome.exe                   46160 Console                    1      8,200 K
chrome.exe                   45396 Console                    1     17,116 K
chrome.exe                   43548 Console                    1      8,936 K
svchost.exe                  43584 Console                    1      9,668 K
cloudmusic.exe               47644 Console                    1     35,104 K
cloudmusic_reporter.exe      47696 Console                    1         16 K
cloudmusic.exe               47776 Console                    1     29,148 K
cloudmusic.exe               47888 Console                    1     48,608 K
svchost.exe                  31480 Services                   0      5,568 K
electron.exe                 47388 Console                    1     41,436 K
electron.exe                 43840 Console                    1     27,100 K
electron.exe                 44736 Console                    1      9,084 K
electron.exe                 45208 Console                    1     35,192 K
notepad++.exe                54600 Console                    1      3,264 K
chrome.exe                   54684 Console                    1      9,920 K
chrome.exe                   49736 Console                    1     34,268 K
chrome.exe                   57152 Console                    1     28,892 K
chrome.exe                   53956 Console                    1    182,476 K
chrome.exe                   39776 Console                    1     85,236 K
chrome.exe                   52256 Console                    1     29,812 K
